JavaScript,be run outside of,the browser,T
JavaScript,runs on,every operating system,T
JavaScript,Cascading,Cascading Style Sheets,T
The Mozilla Developer Network,was developed under,the name Mocha,T
modern browsers,implement,JavaScript,T
scripts,run in,a sandbox,T
The Java language,derives much of,C,T
The Java language,derives much of,C++,T
Java applications,are typically compiled to,bytecode,T
The JVM,compiles,code,T
The JVM,optimize,performance,T
The JVM,manages,memory,T
Java,supports,Native Interface,T
Java,is designed to have,few implementation dependencies,T
Java,was originally developed by,James Gosling,T
Java,was originally developed by,Sun Microsystems,T
Java,was released in,a core component,T
Java,was started as,a project,T
computing systems,have installed,running Java programs,T
Java,is compiled into,bytecode,T
bytecode,is then compiled by,native machine code,T
bytecode,is then compiled by,the JVM,T
Java SE,will be released,every six months,T
Java programs,increase,readability,T
Java source code,is compiled to,an intermediate form,T
an intermediate form,can be executed with,the java command,T
Python,incorporates,dynamic data types,T
Python,incorporates,modules,T
Python,incorporates,classes,T
Python,incorporates,exceptions,T
Python,incorporates,dynamic typing,T
Python,combines,remarkable power,T
Python,combines,clear syntax,T
Python,has interfaces to,many system calls,T
Python,has interfaces to,libraries,T
Python,has interfaces to,various window systems,T
Python,has interfaces to,many system calls,T
Python,has interfaces to,libraries,T
Python,has interfaces to,various window systems,T
Python,is extensible in,c,T
Python,is extensible in,c++,T
Python,is also usable as,an extension language,T
Python,runs on,many Unix variants,T
Python,was originally created by,Guido van Rossum,T
Python,supports,multiple programming paradigms,T
Python,features,dynamic type system,T
Python,features,automatic memory management,T
Python,is often used as,other dynamic languages,T
Python,is often used as,a scripting language,T
Python interpreters,are available for,many operating systems,T
Python,comes with,a basic IDE called IDLE,T
easy_install,installing,installing dependencies,T
easy_install,was notable at,the time,T
A simple Python library,uses,C APIs,T
Scrapy,can be used for,testing,T
Scrapy,can be used for,data mining,T
Beautiful Soup,is available for,Python,T
Beautiful Soup,is available for,Python,T
level Python Web framework,encourages,pragmatic design,T
level Python Web framework,encourages,rapid development,T
Flask,provides,monolithic structure,T
Flask,does not enforce,dependencies,T
Tornado,can scale to,open connections,T
web framework,build,web applications,T
the emerging WSGI standard,allows,extensive re-use,T
TurboGears,was created in,Kevin Dangoor,T
Falcon,encourages,architectural style,T
Kivy,supports,multiple platforms,T
Kivy,comes with over,20 widgets,T
PyQT,is available for,Sharp Zaurus,T
PyQT,is available for,Linux,T
PyQT,is available for,Windows,T
PyQT,is available for,Mac OS X,T
Tkinter,is commonly bundled with,Python,T
Tkinter,is popular for,graphical user interface,T
SciPy,includes,algorithms,T
SciPy,includes,tools,T
SciPy,is closely related to,NumPy,T
SciPy,depends on,many NumPy functions,T
matplotlib,provides,API,T
matplotlib,provides,applications,T
Pandas,integrates,matplotlib's plotting capabilities,T
Pandas,integrates,many other libraries' features,T
Pandas,integrates,NumPy's matrix operations,T
Theano,features,automatic differentiation,T
Theano,supports,training,T
Theano,supports,testing,T
Cython,makes,writing C extensions,T
The original PHP project,invented by,Rasmus Lerdorf,T
3v4l,act like,jsfiddle,T
PHP Sandbox,act like,jsfiddle,T
codepad,act like,jsfiddle,T
The PEAR repository,is also possible to download,the documentation,T
PHP,is often paired with,relational database,T
PHP,includes,great database support,T
PECL extensions,offer,NoSQL,T
Packagist,contain many of,popular PHP libraries,T
Android,is designed primarily for,mobile devices,T
Google,has further developed,Android TV,T
Google,has further developed,televisions,T
butterknife otto picassogreendao Android Developers,Contains,the SDK downloads,T
butterknife otto picassogreendao Android Developers,Contains,class reference,T
butterknife otto picassogreendao Android Developers,Contains,tutorials,T
Android Open Source Project,Contains,all necessary information,T
Google developer conference,Contains,videos,T
Google developer conference,Contains,slides,T
Google developer conference,Contains,videos,T
Google developer conference,Contains,slides,T
Android,be found on,the Android Developer site,T
HTML,was invented by,Lee,T
HTML Tags,were first publicly mentioned by,Lee,T
HTML Tags,borrowed,documentation standard,T
HTML elements,form,the building blocks,T
HTML,allows,images,T
HTML,allows,objects,T
HTML,can be used to create,interactive forms,T
HTML,create,structured documents,T
HTML,can embed,scripts,T
HTML standards,are maintained by,Wide Web Consortium,T
HTML markups,are designed,CSS,T
jQuery,simplifies,HTML document traversal,T
jQuery,simplifies,manipulation,T
jQuery,simplifies,event handling,T
jQuery,simplifies,AJAX,T
jQuery,supports,Internet Explorer version,T
jQuery,supports,mobile browser,T
C++,was developed in,the early 1980s,T
C++,was developed in,Bjarne Stroustrup,T
C++ improved type,improved,safety,T
C++ Compiler,optimized,numerical computations,T
the C++ Committee,published,the first international standard,T
adding coroutines GCC C++20 language support,add,command line parameter,T
Clang C++20 language support,add,command line parameter,T
Complex selectors,can be created by joining,multiple simple ones,T
OS,is one of,IBM's operating systems,T
OS,is one of,IBM's operating systems,T
iOS 14.4 beta,released on,December,T
OS X,is based on,OS foundation,T
Each iOS application,own,secure sandbox,T
an iOS application,can have,extensions,T
iOS,is optimized for,graphics,T
iOS,is optimized for,processor,T
iOS,is optimized for,memory constraints,T
Interface control elements,consist of,sliders,T
Interface control elements,consist of,switches,T
Interface control elements,consist of,buttons,T
Interaction,includes,gestures,T
Internal accelerometers,can be used by,applications,T
gyroscopes,can be used by,applications,T
Internal accelerometers,rotating,three dimensions,T
CocoaPods,includes,ten thousand libraries,T
CocoaPods,help,programmers scale projects,T
CocoaPods,does not store,a central list,T
MySQL source code,is available under,the GNU,T
MySQL,offers,standard database driver connectivity,T
standard SQL,is based on,relational algebra,T
DDL,is used to create,tables,T
DDL,is used to create,constraints,T
DML,is used to modify,data,T
vendors,have implemented,dialects,T
vendors,provide,functionality,T
Oracle,use,standard SQL,T
PostgreSQL,use,standard SQL,T
Microsoft SQL Server,uses,SQL,T
R,was created by,Ross Ihaka,T
R,was created by,Robert Gentleman,T
R,is now developed by,the R Development Core Team,T
The R environment,is easily extended through,the Comprehensive R Archive Network,T
The R environment,is easily extended through,a packaging system,T
O runtime,uses,Google's V8 JavaScript engine,T
O runtime,uses,libuv library,T
Node.js,is often used for developing,developing applications,T
Node.js,supports,the CommonJS standard,T
ASP.NET,is built on,the Common Language Runtime,T
ASP.NET,uses,a WebForms style,T
ASP.NET,includes,own controls library,T
HTML helper methods,blend,HTML markup,T
C,is distinct from,C++,T
The C programming language,was based on,CPL.,T
The C programming language,was based on,programming languages B,T
The C programming language,was based on,BCPL,T
The C language,are standardized as,IEC,T
C,was designed for implementing,implementing system software,T
A draft version N2176,is also widely used for developing,portable application software,T
C,has greatly influenced,many other popular programming languages,T
assembly language,was designed to encourage,level capabilities,T
assembly language,was designed to encourage,cross-platform programming,T
C program,can be compiled for,wide variety,T
assembly language,has become available on,microcontrollers,T
Ruby,follows,the popular MVC framework model,T
Ruby,is known for,Rails,T
the MVC Architectural Design Pattern,separates,web applications,T
Ruby,is based on,the MVC Architectural Design Pattern,T
JSON,using,a JSON validator,T
JSON,is defined by,RFC,T
Microsoft SQL Server,originated from,Microsoft SQL Server 4.x codebase,T
Standard components,include,schedulers,T
Standard components,include,database language,T
Standard components,include,replication,T
Standard components,include,storage server,T
Standard components,include,developer tools,T
Standard components,include,ETL tools,T
