entity:ID,name
entity_0,Nuxt.js
entity_1,a framework
entity_2,features
entity_3,Nuxt Generate
entity_4,a powerful tool
entity_5,pages
entity_6,Markdown
entity_7,HTML
entity_8,rich text
entity_9,readme files
entity_10,a Perl script
entity_11,up text input
entity_12,pointing angle brackets
entity_13,ampersands
entity_14,others
entity_15,a Perl module
entity_16,style license
entity_17,an HttpRequest class
entity_18,relevant functionality
entity_19,Tool Command Language
entity_20,John Ousterhout
entity_21,Play
entity_22,minimal resource consumption
entity_23,friendly architecture
entity_24,classification
entity_25,machine learning
entity_26,statistics
entity_27,The unsupervised counterpart
entity_28,categories
entity_29,Windows Store apps
entity_30,WinRT
entity_31,Windows Store
entity_32,Windows Store Apps
entity_33,OData
entity_34,practices
entity_35,updating data
entity_36,REST APIs
entity_37,excel
entity_38,data clients
entity_39,tableau
entity_40,openui5
entity_41,determinate progress bars
entity_42,a linear function
entity_43,progress bars
entity_44,non-linear behaviors
entity_45,wxPython
entity_46,Python programmers
entity_47,programs
entity_48,a Python extension module
entity_49,cross-platform GUI library
entity_50,C++
entity_51,The UILabel class
entity_52,only text view
entity_53,support
entity_54,New label objects
entity_55,disregard user events
entity_56,clip subviews
entity_57,Bootstrap
entity_58,dialog element
entity_59,Bootstrap modals
entity_60,the flow
entity_61,native dialogs
entity_62,Dialogs
entity_63,using Bootstrap
entity_64,RStudio
entity_65,highlighting editor
entity_66,The RStudio IDE
entity_67,ACE Code Editor RStudio
entity_68,websites
entity_69,multiple users
entity_70,large amounts
entity_71,Reports
entity_72,reporting tool
entity_73,a hybrid approach
entity_74,code
entity_75,An apk file extension
entity_76,file
entity_77,Spring Integration
entity_78,an extension
entity_79,Enterprise Integration Patterns
entity_80,lightweight messaging
entity_81,applications
entity_82,declarative adapters
entity_83,Android app
entity_84,Google Play services
entity_85,Streams
entity_86,unlimited data
entity_87,normal functions
entity_88,HBase
entity_89,like capabilities
entity_90,data storage
entity_91,the Google File System
entity_92,File System
entity_93,part
entity_94,HDFS
entity_95,Retrofit2
entity_96,Square
entity_97,Appium
entity_98,Android apps
entity_99,helpful functionality
entity_100,Jetty 8.x
entity_101,open source support
entity_102,a bare mininum
entity_103,different data storage technologies
entity_104,different programming languages
entity_105,DevExpress
entity_106,presentation controls
entity_107,the tab key
entity_108,convention
entity_109,JavaScript
entity_110,the browser
entity_111,every operating system
entity_112,The Mozilla Developer Network
entity_113,quality documentation
entity_114,Cascading Style Sheets
entity_115,environments
entity_116,the name Mocha
entity_117,modern browsers
entity_118,scripts
entity_119,a sandbox
entity_120,The Java language
entity_121,C
entity_122,Java applications
entity_123,bytecode
entity_124,The JVM
entity_125,performance
entity_126,memory
entity_127,Java
entity_128,Native Interface
entity_129,few implementation dependencies
entity_130,James Gosling
entity_131,Sun Microsystems
entity_132,Oracle Corporation
entity_133,a core component
entity_134,a project
entity_135,computing systems
entity_136,running Java programs
entity_137,native machine code
entity_138,the JVM
entity_139,Java SE
entity_140,every six months
entity_141,java code
entity_142,a java installer package supplier
entity_143,LTS
entity_144,non-LTS versions
entity_145,Java programs
entity_146,readability
entity_147,Java source code
entity_148,an intermediate form
entity_149,the java command
entity_150,Python
entity_151,dynamic data types
entity_152,modules
entity_153,classes
entity_154,exceptions
entity_155,dynamic typing
entity_156,remarkable power
entity_157,clear syntax
entity_158,many system calls
entity_159,libraries
entity_160,various window systems
entity_161,c
entity_162,c++
entity_163,an extension language
entity_164,many Unix variants
entity_165,Guido van Rossum
entity_166,multiple programming paradigms
entity_167,dynamic type system
entity_168,automatic memory management
entity_169,other dynamic languages
entity_170,a scripting language
entity_171,Python interpreters
entity_172,many operating systems
entity_173,a basic IDE called IDLE
entity_174,easy_install
entity_175,installing dependencies
entity_176,the time
entity_177,A simple Python library
entity_178,C APIs
entity_179,Scrapy
entity_180,testing
entity_181,data mining
entity_182,Beautiful Soup
entity_183,Flask
entity_184,monolithic structure
entity_185,dependencies
entity_186,Tornado
entity_187,open connections
entity_188,web framework
entity_189,web applications
entity_190,the emerging WSGI standard
entity_191,extensive re-use
entity_192,TurboGears
entity_193,Kevin Dangoor
entity_194,Falcon
entity_195,architectural style
entity_196,Kivy
entity_197,multiple platforms
entity_198,20 widgets
entity_199,PyQT
entity_200,Sharp Zaurus
entity_201,Linux
entity_202,Windows
entity_203,Mac OS X
entity_204,Tkinter
entity_205,graphical user interface
entity_206,SciPy
entity_207,algorithms
entity_208,tools
entity_209,NumPy
entity_210,many NumPy functions
entity_211,matplotlib
entity_212,API
entity_213,Pandas
entity_214,matplotlib's plotting capabilities
entity_215,many other libraries' features
entity_216,NumPy's matrix operations
entity_217,Theano
entity_218,automatic differentiation
entity_219,training
entity_220,Cython
entity_221,writing C extensions
entity_222,The original PHP project
entity_223,Rasmus Lerdorf
entity_224,3v4l
