entity1,relation,entity2,merged_sentence,label
JavaScript,be run outside of,the browser,javascript be run outside of the browser,T
JavaScript,runs on,every operating system,javascript runs on every operating system,T
JavaScript,Cascading,Cascading Style Sheets,javascript cascading cascading style sheets,T
The Mozilla Developer Network,was developed under,the name Mocha,the mozilla developer network was developed under the name mocha,T
modern browsers,implement,JavaScript,modern browsers implement javascript,T
scripts,run in,a sandbox,scripts run in a sandbox,T
The Java language,derives much of,C,the java language derives much of c,T
The Java language,derives much of,C++,the java language derives much of c++,T
Java applications,are typically compiled to,bytecode,java applications are typically compiled to bytecode,T
The JVM,compiles,code,the jvm compiles code,T
The JVM,optimize,performance,the jvm optimize performance,T
The JVM,manages,memory,the jvm manages memory,T
Java,supports,Native Interface,java supports native interface,T
Java,is designed to have,few implementation dependencies,java is designed to have few implementation dependencies,T
Java,was originally developed by,James Gosling,java was originally developed by james gosling,T
Java,was originally developed by,Sun Microsystems,java was originally developed by sun microsystems,T
Java,was released in,a core component,java was released in a core component,T
Java,was started as,a project,java was started as a project,T
computing systems,have installed,running Java programs,computing systems have installed running java programs,T
Java,is compiled into,bytecode,java is compiled into bytecode,T
bytecode,is then compiled by,native machine code,bytecode is then compiled by native machine code,T
bytecode,is then compiled by,the JVM,bytecode is then compiled by the jvm,T
Java SE,will be released,every six months,java se will be released every six months,T
Java programs,increase,readability,java programs increase readability,T
Java source code,is compiled to,an intermediate form,java source code is compiled to an intermediate form,T
an intermediate form,can be executed with,the java command,an intermediate form can be executed with the java command,T
Python,incorporates,dynamic data types,python incorporates dynamic data types,T
Python,incorporates,modules,python incorporates modules,T
Python,incorporates,classes,python incorporates classes,T
Python,incorporates,exceptions,python incorporates exceptions,T
Python,incorporates,dynamic typing,python incorporates dynamic typing,T
Python,combines,remarkable power,python combines remarkable power,T
Python,combines,clear syntax,python combines clear syntax,T
Python,has interfaces to,many system calls,python has interfaces to many system calls,T
Python,has interfaces to,libraries,python has interfaces to libraries,T
Python,has interfaces to,various window systems,python has interfaces to various window systems,T
Python,has interfaces to,many system calls,python has interfaces to many system calls,T
Python,has interfaces to,libraries,python has interfaces to libraries,T
Python,has interfaces to,various window systems,python has interfaces to various window systems,T
Python,is extensible in,c,python is extensible in c,T
Python,is extensible in,c++,python is extensible in c++,T
Python,is also usable as,an extension language,python is also usable as an extension language,T
Python,runs on,many Unix variants,python runs on many unix variants,T
Python,was originally created by,Guido van Rossum,python was originally created by guido van rossum,T
Python,supports,multiple programming paradigms,python supports multiple programming paradigms,T
Python,features,dynamic type system,python features dynamic type system,T
Python,features,automatic memory management,python features automatic memory management,T
Python,is often used as,other dynamic languages,python is often used as other dynamic languages,T
Python,is often used as,a scripting language,python is often used as a scripting language,T
Python interpreters,are available for,many operating systems,python interpreters are available for many operating systems,T
Python,comes with,a basic IDE called IDLE,python comes with a basic ide called idle,T
easy_install,installing,installing dependencies,easy_install installing installing dependencies,T
easy_install,was notable at,the time,easy_install was notable at the time,T
A simple Python library,uses,C APIs,a simple python library uses c apis,T
Scrapy,can be used for,testing,scrapy can be used for testing,T
Scrapy,can be used for,data mining,scrapy can be used for data mining,T
Beautiful Soup,is available for,Python,beautiful soup is available for python,T
Beautiful Soup,is available for,Python,beautiful soup is available for python,T
level Python Web framework,encourages,pragmatic design,level python web framework encourages pragmatic design,T
level Python Web framework,encourages,rapid development,level python web framework encourages rapid development,T
Flask,provides,monolithic structure,flask provides monolithic structure,T
Flask,does not enforce,dependencies,flask does not enforce dependencies,T
