:START_ID,:END_ID,:TYPE
entity_0,entity_1,comes with
entity_0,entity_2,comes with
entity_3,entity_4,provides
entity_3,entity_5,prerender
entity_6,entity_7,can be converted to
entity_6,entity_8,create
entity_6,entity_9,is often used to format
entity_10,entity_11,converts
entity_10,entity_12,replaces
entity_10,entity_13,replaces
entity_6,entity_14,been re-implemented by
entity_6,entity_15,been re-implemented by
entity_6,entity_15,has since been re-implemented
entity_6,entity_16,is distributed under
entity_17,entity_18,automates
entity_19,entity_20,was invented by
entity_19,entity_20,was invented by
entity_21,entity_22,features
entity_21,entity_23,is based on
entity_24,entity_25,refers to
entity_24,entity_26,refers to
entity_27,entity_28,involves
entity_29,entity_30,are built on
entity_29,entity_31,are available on
entity_32,entity_30,are built on
entity_32,entity_31,are available through
entity_33,entity_34,specifies
entity_35,entity_36,specifies
entity_37,entity_38,are well known
entity_39,entity_38,are well known
entity_40,entity_38,are well known
entity_41,entity_42,use
entity_43,entity_44,exhibit
entity_45,entity_46,allows
entity_45,entity_47,create
entity_45,entity_48,is implemented as
entity_49,entity_50,is written in
entity_51,entity_52,implements
entity_51,entity_53,provides
entity_51,entity_52,implements
entity_51,entity_53,provides
entity_54,entity_55,are configured to
entity_54,entity_56,are configured to
entity_57,entity_58,provides
entity_59,entity_60,block
entity_57,entity_61,provides
entity_58,entity_61,can be used to replace
entity_57,entity_58,provides
entity_59,entity_60,block
entity_57,entity_61,provides
entity_58,entity_61,can be used to replace
entity_62,entity_63,can be manually triggered
entity_64,entity_65,includes
entity_66,entity_67,is based on
entity_68,entity_69,are easily edited by
entity_68,entity_69,are easily edited by
entity_68,entity_70,are easily edited by
entity_71,entity_72,using
entity_71,entity_73,using
entity_71,entity_74,can be created entirely from
entity_75,entity_76,denotes
entity_77,entity_78,provides
entity_77,entity_79,support
entity_77,entity_80,enables
entity_77,entity_81,enables
entity_77,entity_82,supports
entity_83,entity_84,can take
entity_85,entity_86,have
entity_85,entity_87,are processed differently from
entity_88,entity_89,provides
entity_90,entity_91,provided by
entity_88,entity_92,provides
entity_88,entity_89,providing
entity_88,entity_93,is developed as
entity_88,entity_94,runs on
entity_95,entity_96,is developed by
entity_97,entity_98,drives
entity_97,entity_99,provided
entity_100,entity_101,have reached
entity_102,entity_103,use
entity_102,entity_104,may be written in
entity_105,entity_106,sells
